iso-codes	4.16.0-1	all
isympy-common	1.12-7	all
isympy3	1.12-7	all
iucode-tool	2.3.1-3build1	amd64
java-common	0.75+exp1	all
javascript-common	11+nmu1	all
jq	1.7.1-3ubuntu0.24.04.2	amd64
kbd	2.6.4-2ubuntu2	amd64
kerneloops	0.12+git20140509-6ubuntu8	amd64
keyboard-configuration	1.226ubuntu1.1	all
keyboxd	2.4.4-2ubuntu17.6	amd64
klibc-utils	2.0.13-4ubuntu0.2	amd64
kmod	31+20240202-2ubuntu7.2	amd64
krb5-locales	1.20.1-6ubuntu2.8	all
krb5-multidev	1.20.1-6ubuntu2.8	amd64
language-pack-en	1:24.04+20260905	all
language-pack-en-base	1:24.04+20260905	all
language-pack-gnome-en	1:24.04+20260905	all
language-pack-gnome-en-base	1:24.04+20260905	all
language-selector-common	0.225	all
language-selector-gnome	0.225	all
laptop-detect	0.16	all
ldap-utils	2.6.10+dfsg-0ubuntu0.24.04.1	amd64
less	590-2ubuntu2.1	amd64
libaa1	1.4p5-51.1	amd64
libaacs0	0.11.1-2build1	amd64
libabsl20220623t64	20220623.1-3.1ubuntu3.2	amd64
libaccountsservice0	23.13.9-2ubuntu6.1	amd64
libacl1	2.3.2-1build1.1	amd64
libadwaita-1-0	1.5.0-1ubuntu2	amd64
libaec-dev	1.1.2-1build1	amd64
libaec0	1.1.2-1build1	amd64
libalgorithm-diff-perl	1.201-1	all
libalgorithm-diff-xs-perl	0.04-8build3	amd64
libalgorithm-merge-perl	0.08-5	all
libamd-comgr2	6.0+git20231212.4510c28+dfsg-3build2	amd64
libamdhip64-5	5.7.1-3	amd64
libann0	1.1.2+doc-9build1	amd64
libao-common	1.2.2+20180113-1.1ubuntu4	all
libao4	1.2.2+20180113-1.1ubuntu4	amd64
libaom-dev	3.8.2-2ubuntu0.1	amd64
libaom3	3.8.2-2ubuntu0.1	amd64
libaom3	3.8.2-2ubuntu0.1	i386
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7	amd64
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7	i386
libappstream5	1.0.2-1build6	amd64
libapr1t64	1.7.2-3.1ubuntu0.1	amd64
libaprutil1t64	1.6.3-1.1ubuntu7.1	amd64
libapt-pkg6.0t64	2.8.3	amd64
libarchive13t64	3.7.2-2ubuntu0.8	amd64
libargon2-1	0~20190702+dfsg-4build1	amd64
libarmadillo-dev	1:12.6.7+dfsg-1build2	amd64
libarmadillo12	1:12.6.7+dfsg-1build2	amd64
libarpack2-dev	3.9.1-1.1build2	amd64
libarpack2t64	3.9.1-1.1build2	amd64
libasan8	14.2.0-4ubuntu2~24.04.1	amd64
libasound2-data	1.2.11-1ubuntu0.3	all
libasound2-dev	1.2.11-1ubuntu0.3	amd64
libasound2-plugins	1.2.7.1-1ubuntu5	amd64
libasound2-plugins	1.2.7.1-1ubuntu5	i386
libasound2t64	1.2.11-1ubuntu0.3	amd64
libasound2t64	1.2.11-1ubuntu0.3	i386
libaspell15	0.60.8.1-1build1	amd64
libass9	1:0.17.1-2build1	amd64
libassimp-dev	5.3.1+ds-2build1	amd64
libassimp5	5.3.1+ds-2build1	amd64
libassuan0	2.5.6-1build1	amd64
libasyncns0	0.8-6build4	amd64
libasyncns0	0.8-6build4	i386
libatasmart4	0.19-5build3	amd64
libatk-adaptor	2.52.0-1build1	amd64
libatk-bridge2.0-0t64	2.52.0-1build1	amd64
libatk-wrapper-java	0.40.0-3build2	all
libatk-wrapper-java-jni	0.40.0-3build2	amd64
libatk1.0-0t64	2.52.0-1build1	amd64
libatm1t64	1:2.5.1-5.1build1	amd64
libatomic1	14.2.0-4ubuntu2~24.04.1	amd64
libatomic1	14.2.0-4ubuntu2~24.04.1	i386
libatopology2t64	1.2.11-1ubuntu0.3	amd64
libatspi2.0-0t64	2.52.0-1build1	amd64
libattr1	1:2.5.2-1ubuntu0.1	amd64
libaudit-common	1:3.1.2-2.1build1.1	all
libaudit1	1:3.1.2-2.1build1.1	amd64
libauthen-sasl-perl	2.1700-1	all
libavahi-client3	0.8-13ubuntu6.2	amd64
libavahi-common-data	0.8-13ubuntu6.2	amd64
libavahi-common3	0.8-13ubuntu6.2	amd64
libavahi-core7	0.8-13ubuntu6.2	amd64
libavahi-glib1	0.8-13ubuntu6.2	amd64
libavc1394-0	0.5.4-5build3	amd64
libavcodec-dev	7:6.1.1-3ubuntu5	amd64
libavcodec60	7:6.1.1-3ubuntu5	amd64
libavcodec60	7:6.1.1-3ubuntu5	i386
libavdevice-dev	7:6.1.1-3ubuntu5	amd64
libavdevice60	7:6.1.1-3ubuntu5	amd64
libavfilter-dev	7:6.1.1-3ubuntu5	amd64
libavfilter9	7:6.1.1-3ubuntu5	amd64
libavformat-dev	7:6.1.1-3ubuntu5	amd64
libavformat60	7:6.1.1-3ubuntu5	amd64
libavutil-dev	7:6.1.1-3ubuntu5	amd64
libavutil58	7:6.1.1-3ubuntu5	amd64
libavutil58	7:6.1.1-3ubuntu5	i386
libayatana-appindicator3-1	0.5.93-1build3	amd64
libayatana-ido3-0.4-0	0.10.1-1build2	amd64
libayatana-indicator3-7	0.9.4-1build1	amd64
libbabeltrace1	1.5.11-3build3	amd64
libbasicobjects0t64	0.6.2-2.1build1	amd64
libbdplus0	0.2.0-3build1	amd64
libbenchmark-dev	1.8.3-3	amd64
libbenchmark1.8.3	1.8.3-3	amd64
libbinutils	2.42-4ubuntu2.10	amd64
libblas-dev	3.12.0-3build1.1	amd64
libblas3	3.12.0-3build1.1	amd64
libblkid-dev	2.39.3-9ubuntu6.6	amd64
libblkid1	2.39.3-9ubuntu6.6	amd64
libblkid1	2.39.3-9ubuntu6.6	i386
libblockdev-crypto3	3.1.1-1ubuntu0.1	amd64
libblockdev-fs3	3.1.1-1ubuntu0.1	amd64
libblockdev-loop3	3.1.1-1ubuntu0.1	amd64
libblockdev-mdraid3	3.1.1-1ubuntu0.1	amd64
libblockdev-nvme3	3.1.1-1ubuntu0.1	amd64
libblockdev-part3	3.1.1-1ubuntu0.1	amd64
libblockdev-swap3	3.1.1-1ubuntu0.1	amd64
libblockdev-utils3	3.1.1-1ubuntu0.1	amd64
libblockdev3	3.1.1-1ubuntu0.1	amd64
libblosc-dev	1.21.5+ds-1build1	amd64
libblosc1	1.21.5+ds-1build1	amd64
libbluetooth3	5.72-0ubuntu5.5	amd64
libbluray2	1:1.3.4-1build1	amd64
libboost-all-dev	1.83.0.1ubuntu2	amd64
libboost-atomic-dev	1.83.0.1ubuntu2	amd64
libboost-atomic1.83-dev	1.83.0-2.1ubuntu3.2	amd64
libboost-atomic1.83.0	1.83.0-2.1ubuntu3.2	amd64
libboost-chrono-dev	1.83.0.1ubuntu2	amd64
libboost-chrono1.83-dev	1.83.0-2.1ubuntu3.2	amd64
libboost-chrono1.83.0t64	1.83.0-2.1ubuntu3.2	amd64
libboost-container-dev	1.83.0.1ubuntu2	amd64
libboost-container1.83-dev	1.83.0-2.1ubuntu3.2	amd64
libboost-container1.83.0	1.83.0-2.1ubuntu3.2	amd64
libboost-context-dev	1.83.0.1ubuntu2	amd64
libboost-context1.83-dev	1.83.0-2.1ubuntu3.2	amd64
libboost-context1.83.0	1.83.0-2.1ubuntu3.2	amd64
libboost-coroutine-dev	1.83.0.1ubuntu2	amd64
libboost-coroutine1.83-dev	1.83.0-2.1ubuntu3.2	amd64
libboost-coroutine1.83.0	1.83.0-2.1ubuntu3.2	amd64
